TF,TCGA_E2_A10E_01A_21R_A10J_07,TCGA_D8_A1JB_01A_11R_A13Q_07,TCGA_AR_A5QN_01A_12R_A28M_07,TCGA_LL_A50Y_01A_11R_A266_07,TCGA_B6_A0I5_01A_11R_A034_07,TCGA_D8_A141_01A_11R_A115_07,TCGA_E2_A14Q_01A_11R_A12D_07,TCGA_B6_A0I8_01A_11R_A034_07,TCGA_AC_A3HN_01A_11R_A213_07,TCGA_A2_A04V_01A_21R_A034_07,TCGA_A2_A1FW_01A_11R_A13Q_07,TCGA_C8_A12U_01A_11R_A115_07,TCGA_EW_A1PC_01B_11R_A21T_07,TCGA_5T_A9QA_01A_11R_A41B_07,TCGA_AN_A0AJ_01A_11R_A00Z_07,TCGA_A2_A04R_01A_41R_A109_07,TCGA_AR_A0TV_01A_21R_A084_07,TCGA_A8_A09R_01A_11R_A00Z_07,TCGA_E2_A1L7_01A_11R_A144_07,TCGA_BH_A42T_01A_11R_A24H_07
POU1F1,-264.1977159931024,503.92514445939787,-860.2770132726112,1116.8286235980302,-499.21474833096124,-339.6682394073302,-988.7535399113768,-1159.232980403315,-806.5681937219194,-907.8784544727594,-1558.7022751011368,-733.1877633308766,-1474.533570154112,-771.2129816775612,-809.0408484577326,-1078.8485635664624,-1279.3701556006886,-652.6985610245982,-989.7855518666505,-411.89872289964933
POU2F2,-244.0037689206816,482.0363862038498,-794.3674244116612,856.075206176956,-552.8604713867915,-260.32127301372697,-932.4946891989247,-1062.7596293679792,-754.3316335910105,-861.1689907467564,-1400.5786520970635,-647.9935939621084,-1353.1481172969718,-732.5751238849228,-745.9766625466046,-1010.5470079402037,-1207.0301633652432,-557.3608015285112,-998.4289994695621,-426.4624706122474
POU4F3,-108.76882805233909,592.600266405082,-723.9507827762897,1050.7986982999328,-407.21453588868616,-303.46099772781656,-819.4599773103746,-914.2209254996189,-748.7554431464251,-737.9846004225515,-1156.2657624493193,-561.8953868199708,-1127.2823305635334,-626.56264689036,-701.4551158521758,-837.5771023878957,-992.1839937193841,-466.8334716635073,-855.1660445103621,-255.49623829855744
POU6F2,-1121.1887577501143,-500.7681653019475,-1587.8312250022486,-460.2740120479937,-1405.8107331737851,-1311.219756999758,-1690.3159020959065,-1794.870598437655,-1474.379563592879,-1647.2651723905242,-1876.61353118045,-1169.0528026515544,-1977.4452843045806,-1383.1582422155514,-1582.3810952234312,-1773.0719233451864,-1840.6560615711455,-1393.5324255568069,-1789.1766762542702,-1234.3827975009563
PPARD,1073.7260411605391,874.4637590136327,1114.0171700264023,840.6167660893934,1094.2013434761325,1025.3909267187564,1142.910453196429,1122.7097600957616,1067.608156290701,1138.7477829862964,1384.839391856998,1159.106639041121,1198.7277481818119,906.4354196502917,1149.2598980088346,1130.5092634942207,1102.4754274585682,1105.3415810586728,1147.50303819742,1265.1565882494806
PRDM1,2195.8581895896036,1630.0108953290357,2274.281831672684,2763.589844621222,2368.5637060807003,2133.9335050941904,2139.405162406895,2147.2978297396126,2399.4635337306486,2093.2428788645398,1215.404596531344,2793.5306568842493,1840.470757298219,996.9504165509275,2125.5777657951976,2080.592873749654,1726.2080104962533,2408.047484842531,2424.6892331511176,1588.5149329604155
PROX1,-1807.5284088483952,-1509.8863317553553,-2053.255523086631,-1485.7796461069238,-2009.9987211544158,-1846.9062706664133,-2006.6276826233857,-2058.508271103948,-2032.7066336838375,-1987.4815236772793,-1701.2883522928357,-2211.455765579177,-2056.3897311193437,-1925.3904700080298,-2017.8802512060558,-1970.283840990754,-2013.910143374219,-2046.2413896946248,-2043.4429878609792,-1738.5818432917395
PRRX1,-1509.5944561147267,-923.1846876346583,-1995.3571883263755,-869.7731861297123,-1683.160512064265,-1817.272007098047,-2059.407396809719,-2157.3109050363787,-1959.549998703106,-2011.963928007813,-2056.8699651445545,-1873.629999310675,-2255.0544405016185,-1678.3107855892506,-1906.2615680244646,-2113.421932665672,-2150.2888082520694,-1827.2725321245766,-2113.4188940669414,-1525.9762628388648
RARB,-635.722245832394,-418.58161286338145,-651.6818952116975,-943.4220375470729,-684.9323260329461,-715.6240843394706,-640.3063537500393,-775.3434733289043,-771.1337727210451,-663.7176423969013,565.566361722531,-904.0176742582579,-582.5708904684116,-487.2484656338559,-530.614983723008,-599.3785221158789,-456.9884872195945,-821.4869556888104,-895.9967289311985,-537.4894459891935
RELB,684.565854806223,769.7047506575746,743.3349880915447,725.1499973555867,776.1314087006504,505.7707021755614,877.6235039671822,758.1362159243748,701.1890284360386,772.454905183479,1984.8357194652292,786.7171362369812,562.0022624080299,182.1473298267924,784.597051250419,753.1447942317351,642.4851061750833,768.5027137247013,859.9636737975113,709.8658793899467
